feature,description
"state_code","Two-letter state code"
"state","State abbreviation or name as provided"
"4yr_college","Share with 4-year college degree"
"any_health_insurance","Share with any health insurance"
"avg_hh_size","Average household size"
"edu_hs_or_less","Share with high school education or less"
"english_only","Share speaking only English at home"
"female_never_married","Share of females never married"
"fertility_rate","Fertility rate"
"food_stamps","Share receiving food stamp benefits"
"graduate_degree","Share with graduate degree"
"hh_computer","Share of households with a computer"
"hh_internet","Share of households with internet access"
"male_never_married","Share of males never married"
"mean_income","Mean household or personal income"
"median_house_value","Median house value"
"median_income","Median income"
"median_rent","Median monthly rent"
"poverty","Poverty rate"
"private_health_insurance","Share with private health insurance"
"some_college_or_2yr","Share with some college or 2-year degree"
"unemployment_rate","Unemployment rate"
"us_born","Share of population born in the U.S."
"veterans","Share of veterans in population"
"state_name","State name"
"republican_pct","Republican vote share percentage"
"tot_pop","Total population"
