feature,description
"SEQNO","Annual sequence number"
"PSU","Primary sampling unit"
"STSTR","five digit number that combines the values for _STATE (first two characters), _GEOSTR (third and fourth character), and _DENSTR2 (final character)."
"LLCPWT","Final weight assigned to each respondent: Land-line and cell-phone data (Raking derived weight) "
"state_name","State name"
"age_grp","Age group category"
"male","Indicator for male sex"
"edu_cat","Education category"
"income_brfss","Income category harmonized to BRFSS bins"
"income_detailed","Detailed income category"
"race_eth","Race and ethnicity category"
"smoker","Indicator for current smoking"
"diabetes","Indicator for diabetes diagnosis"
"asthma","Indicator for asthma diagnosis"
"bmi","Body mass index"
"mental_health","Number of Days Mental Health Not Good"
"any_ins","Indicator for any health insurance"
"emp_ins","Indicator for employer-sponsored insurance"
"medicare_ins","Indicator for Medicare insurance"
"medicaid_ins","Indicator for Medicaid insurance"
"other_ins","Indicator for other insurance coverage"
"marital","Marital status category"
"household_size","Number of people in household"
