feature,description
"WEEK","Week of interview"
"YEAR","Survey year"
"SCRAM","Unique record ID for linking replicate weights"
"PWEIGHT","Person level weight"
"ANXIOUS","Frequency of anxiety over previous 2 weeks"
"WORRY","Frequency of worry over previous 2 weeks"
"INTEREST","Frequency of little interest over previous 2 weeks"
"DOWN","Frequency of feeling depressed over previous 2 weeks"
"sum_mh","Composite mental health score"
"RECVDVACC","Indicator for receipt of COVID vaccine"
"age_grp","Age group category"
"male","Indicator for male sex"
"race_eth","Race and ethnicity category"
"income_brfss","Income category harmonized to BRFSS bins"
"income_detailed","Detailed income category"
"edu_cat","Education category"
"state_name","State name"
"marital","Marital status category"
"household_size","Number of people in household"
"emp_ins","Indicator for employer-sponsored insurance"
"medicare_ins","Indicator for Medicare insurance"
"medicaid_ins","Indicator for Medicaid insurance"
"other_ins","Indicator for other insurance coverage"
"any_ins","Indicator for any health insurance"
"vax_attitude5cat_probdef","5-category vaccine attitude including probably/definitely responses"
"vax_attitude5cat_def","5-category vaccine attitude emphasizing definite responses"
"vax_attitude4cat_probdef","4-category vaccine attitude including probably/definitely responses"
"vax_attitude4cat_def","4-category vaccine attitude emphasizing definite responses"
"vax_probdef_12_17","Indicator of probable/definite non-vaccination for ages 12-17"
"vax_probdef_5_11","Indicator of probable/definite non-vaccination for ages 5-11"
"vax_probdef_lt5","Indicator of probable/definite non-vaccination for ages under 5"
"Start","Survey window start date"
"End","Survey window end date"
"mid_date","Midpoint date of survey window"
"vax_probdef_adult","Indicator of probable/definite non-vaccination among adults"
